Symbol,Sector,Cumulative Return (%),Annual Return (%),Sharpe,Sortino,Max Drawdown (%),Win Rate (%),Profit Factor,Avg Trade %,Trending Avg Trade %,Ranging Avg Trade %,Number of Trades
ADANIENT,Industrials,10.44,1.71,0.1,0.15,-24.72,33.33,1.49,0.87,0,0,15
ADANIPORTS,Industrials,63.04,8.68,0.57,1.09,-25.17,63.64,4.67,4.76,0,0,11
ASIANPAINT,Materials,-13.96,-2.53,-0.3,-0.4,-24.7,25,0.79,-0.76,0,0,16
AXISBANK,Financials,30.66,4.66,0.38,0.62,-21.77,53.33,2.42,2.01,0,0,15
BAJAJ-AUTO,Consumer Discretionary,61.77,8.53,0.62,1.05,-15.02,53.33,4.5,3.48,0,0,15
BAJFINANCE,Financials,135.06,15.66,0.81,1.71,-18.49,64.71,5.61,5.47,0,0,17
BAJAJFINSV,Financials,162.41,17.85,1.06,2.57,-12.3,71.43,9.73,7.36,0,0,14
BPCL,Energy,121.64,14.51,0.73,1.44,-18.35,40,3.84,5.66,0,0,15
BHARTIARTL,Communication Services,1.05,0.18,0.02,0.02,-16.47,42.86,1.2,0.27,0,0,14
BRITANNIA,Consumer Staples,46.1,6.67,0.67,1.21,-8.98,35.71,5.91,2.98,0,0,14
CIPLA,Healthcare,-5.27,-0.92,-0.1,-0.16,-22.41,18.18,0.94,-0.3,0,0,11
COALINDIA,Energy,35.95,5.37,0.36,0.62,-22.87,55.56,2.14,1.93,0,0,18
DIVISLAB,Healthcare,2.94,0.49,0.04,0.06,-23.26,37.5,1.3,0.4,0,0,16
DRREDDY,Healthcare,47.87,6.89,0.54,0.97,-13.37,38.89,2.42,1.98,0,0,18
EICHERMOT,Consumer Discretionary,83.04,10.84,0.62,1.09,-21.44,45,3.67,3.3,0,0,20
GRASIM,Materials,29.46,4.49,0.4,0.61,-15.96,57.14,2.28,2.06,0,0,14
HCLTECH,Information Technology,14.9,2.39,0.29,0.44,-9.98,46.15,2.55,1.28,0,0,13
HDFCBANK,Financials,-14.45,-2.62,-0.31,-0.4,-22.38,41.18,0.5,-0.73,0,0,17
HDFCLIFE,Financials,11.73,1.91,0.14,0.21,-27.92,35,1.5,0.76,0,0,20
HEROMOTOCO,Consumer Discretionary,36.54,5.45,0.39,0.67,-14.29,45.45,3.28,3.11,0,0,11
HINDALCO,Materials,141.14,16.17,0.87,1.69,-18.72,58.33,6.86,7.83,0,0,12
HINDUNILVR,Consumer Staples,14.49,2.33,0.17,0.31,-17.12,47.37,1.83,0.92,0,0,19
ICICIBANK,Financials,1.21,0.21,0.02,0.04,-11.52,46.15,1.27,0.29,0,0,13
ITC,Consumer Staples,22.53,3.52,0.35,0.54,-21.14,56.25,1.99,1.48,0,0,16
INDUSINDBK,Financials,-5.97,-1.04,-0.07,-0.1,-31.28,47.06,1.05,-0.16,0,0,17
INFY,Information Technology,14.2,2.29,0.26,0.41,-10.14,50,2.79,1.32,0,0,12
JSWSTEEL,Materials,3.81,0.64,0.05,0.07,-25.9,40,1.26,0.39,0,0,20
KOTAKBANK,Financials,-10.67,-1.9,-0.19,-0.28,-29.68,35,0.87,-0.37,0,0,20
LT,Industrials,0.95,0.16,0.01,0.02,-25.88,42.86,1.21,0.27,0,0,14
M&M,Consumer Discretionary,46.77,6.75,0.46,0.81,-20.13,57.14,3.45,2.99,0,0,14
MARUTI,Consumer Discretionary,-17.41,-3.2,-0.42,-0.56,-26.52,14.29,0.53,-1.32,0,0,14
NTPC,Utilities,-11.08,-1.98,-0.2,-0.28,-28.19,35.29,0.81,-0.49,0,0,17
NESTLEIND,Consumer Staples,28.52,4.37,0.4,0.67,-22.76,41.18,2.41,1.71,0,0,17
ONGC,Energy,104.97,13,0.74,1.35,-16.47,58.33,11.62,6.38,0,0,12
POWERGRID,Utilities,4.97,0.83,0.07,0.1,-18.36,44.44,1.38,0.47,0,0,18
RELIANCE,Energy,17.73,2.82,0.22,0.34,-23.25,35.29,1.68,1.17,0,0,17
SBILIFE,Financials,-21.15,-3.96,-0.62,-0.83,-24.5,15.38,0.04,-1.62,0,0,13
SBIN,Financials,123.12,14.64,0.92,1.74,-14.61,76.47,10.91,5.05,0,0,17
SUNPHARMA,Healthcare,39.96,5.89,0.55,0.91,-13.28,47.06,3.41,2.21,0,0,17
TCS,Information Technology,-1.86,-0.32,-0.04,-0.06,-13.78,35.29,1.17,0.09,0,0,17
TATACONSUM,Consumer Staples,52.31,7.43,0.57,1.02,-12.17,60,3.93,3.06,0,0,15
TATAMOTORS,Consumer Discretionary,92.77,11.82,0.5,1.17,-31.56,35.29,3.2,4.15,0,0,17
TATASTEEL,Materials,50.51,7.21,0.51,0.87,-25.08,38.46,3.28,3.4,0,0,13
TECHM,Information Technology,-12.92,-2.33,-0.33,-0.44,-17.64,25,0.2,-1.53,0,0,8
TITAN,Consumer Discretionary,26.26,4.05,0.34,0.53,-22.02,38.89,2.12,1.52,0,0,18
ULTRACEMCO,Materials,38.74,5.73,0.52,0.9,-15.17,40,2.53,2.47,0,0,15
UPL,Materials,-54.39,-12.51,-1.08,-1.15,-54.92,28,0.3,-2.91,0,0,25
WIPRO,Information Technology,52.07,7.4,0.49,0.93,-21.69,43.75,4.06,2.86,0,0,16
LTIM,Information Technology,47.21,6.81,0.53,0.88,-13.53,46.67,2.64,2.86,0,0,15
HDFCAMC,Financials,-46.75,-10.17,-1.09,-1.28,-52.73,15,0.27,-2.98,0,0,20
